Ocupação	Tempo	E[N]	E[W]	Erro de Little
22400	0,833377	4,30926	0,861344	1,6018E-10
22500	0,83358	4,310424	0,861546	2,16748E-10
22600	0,833595	4,306942	0,860939	2,49677E-10
22700	0,83368	4,305733	0,860661	3,24763E-10
22800	0,833886	4,310545	0,861561	3,50211E-10
22900	0,833846	4,30711	0,861033	1,42196E-10
23000	0,833841	4,308219	0,861438	1,00218E-10
23100	0,834013	4,315643	0,862911	3,40696E-11
23200	0,834039	4,319837	0,863864	7,46425E-11
23300	0,834354	4,324644	0,864594	1,56863E-10
23400	0,834056	4,320877	0,863919	1,55505E-10
23500	0,83378	4,321669	0,864299	2,06483E-10
23600	0,833667	4,316596	0,863303	1,91381E-10
23700	0,833483	4,312681	0,862347	2,61172E-10
23800	0,833104	4,305024	0,861022	2,9984E-10
23900	0,833013	4,301312	0,860082	3,51696E-10
24000	0,833336	4,313147	0,862406	4,32652E-10
24100	0,833332	4,310331	0,861584	6,00815E-10
24200	0,833326	4,304456	0,860453	6,2334E-10
24300	0,833385	4,303494	0,860059	6,92984E-10
24400	0,833257	4,299916	0,859247	7,166E-10
24500	0,832934	4,29112	0,857811	6,72406E-10
24600	0,832758	4,289652	0,857519	5,27524E-10
24700	0,832701	4,285811	0,856724	5,21426E-10
24800	0,83258	4,283421	0,856249	5,67323E-10
24900	0,832572	4,284389	0,856376	8,32645E-10
25000	0,832691	4,295695	0,858561	7,65177E-10
25100	0,832761	4,29366	0,85817	7,20741E-10
25200	0,832894	4,29952	0,859181	6,90421E-10
25300	0,833197	4,305467	0,8603	8,51611E-10
25400	0,833118	4,302472	0,860005	6,88966E-10
25500	0,832938	4,296415	0,858998	7,38556E-10
25600	0,833139	4,311216	0,861899	7,08821E-10
25700	0,833181	4,307628	0,861344	6,4935E-10
25800	0,833229	4,307898	0,861282	5,75969E-10
25900	0,833211	4,30821	0,861221	6,39656E-10
26000	0,833149	4,306377	0,860996	6,82669E-10
26100	0,833041	4,300169	0,86006	7,0168E-10
26200	0,833212	4,303647	0,86065	6,24723E-10
26300	0,832889	4,297792	0,859838	7,01742E-10
26400	0,832871	4,292954	0,858871	5,93679E-10
26500	0,833125	4,307002	0,861458	6,9589E-10
26600	0,833076	4,302447	0,860582	6,53904E-10
26700	0,833271	4,306417	0,861049	5,9804E-10
26800	0,83322	4,302458	0,860408	5,52704E-10
26900	0,833182	4,304543	0,860953	6,02963E-10
27000	0,83318	4,308381	0,86173	5,97104E-10
27100	0,832744	4,300217	0,860265	5,31652E-10
27200	0,832964	4,302455	0,860478	5,34557E-10
27300	0,832919	4,297301	0,859436	6,15612E-10
27400	0,833126	4,30027	0,859953	5,88853E-10
27500	0,833197	4,29815	0,859569	6,02782E-10
27600	0,833563	4,305749	0,860923	6,42997E-10
27700	0,833509	4,301842	0,86024	6,40032E-10
27800	0,833558	4,299695	0,859888	7,047E-10
27900	0,833572	4,297097	0,85916	8,10682E-10
28000	0,833625	4,29558	0,858846	9,0467E-10
28100	0,833614	4,297243	0,859233	1,00544E-09
28200	0,833735	4,298208	0,85947	9,26298E-10
28300	0,833737	4,296784	0,859145	9,91357E-10
28400	0,833696	4,294108	0,85869	9,72072E-10
28500	0,833705	4,292678	0,858191	9,4848E-10
28600	0,833727	4,291689	0,857964	1,05201E-09
28700	0,833533	4,286506	0,857114	1,09032E-09
28800	0,833476	4,285915	0,856981	1,0171E-09
28900	0,833514	4,283896	0,856502	1,09984E-09
29000	0,83366	4,285936	0,856662	1,10601E-09
29100	0,833742	4,290346	0,857349	1,09896E-09
29200	0,833876	4,297073	0,858624	1,08023E-09
29300	0,834123	4,302186	0,859603	9,71041E-10
29400	0,834242	4,306982	0,860559	1,03697E-09
29500	0,834206	4,30639	0,860266	1,3458E-09
29600	0,834204	4,309799	0,861158	1,14559E-09
29700	0,834321	4,309786	0,861029	1,08439E-09
29800	0,83438	4,308178	0,860694	1,03048E-09
29900	0,834345	4,3035	0,859773	1,26545E-09
30000	0,8342	4,299054	0,859085	1,42254E-09
30100	0,834077	4,293488	0,858111	1,48902E-09
